84,1,84,"Lic. Marcos Quispe Quispe","Anestesiología","Enfermera Jefe","III Nivel","COLMED-PO-3781",7
85,1,85,"Dra. Marcos Salvatierra Choque","Dermatología","Médico General","III Nivel","COLMED-PA-8880",4
86,1,86,"Dra. Fernando Zárate Vargas","Medicina General","Médico Residente","III Nivel","COLMED-CB-9674",39
87,1,87,"Dr. Javier Gutiérrez Condori","Dermatología","Médico General","I Nivel","COLMED-OR-4724",26
88,1,88,"Lic. Fernando Pinto Condori","Oftalmología","Enfermera","I Nivel","COLMED-LP-1614",25
89,1,89,"Lic. Fernando Gutiérrez Condori","Cardiología","Técnico Sanitario","I Nivel","COLMED-TJ-5495",26
90,1,90,"Lic. Silvia Condori Arce","Endocrinología","Enfermera","I Nivel","COLMED-PO-4692",39
91,1,91,"Dr. Ana Salvatierra Nina","Cirugía General","Cirujano","III Nivel","COLMED-PA-1376",40
92,1,92,"Lic. Ana Mercado Mamani","Neurología","Enfermera","II Nivel","COLMED-CH-6691",2
93,1,93,"Lic. Ana Condori Pinto","Dermatología","Técnico Sanitario","II Nivel","COLMED-CH-8060",39
94,1,94,"Lic. Ana Arce Pinto","Pediatría","Enfermera Jefe","II Nivel","COLMED-PA-4313",17
95,1,95,"Lic. Javier Vargas Nina","Traumatología","Enfermera","I Nivel","COLMED-OR-7785",29
96,1,96,"Lic. Silvia Rocha Gutiérrez","Cardiología","Enfermera","I Nivel","COLMED-PO-3691",37
97,1,97,"Lic. Martha Nina Vargas","Ginecología y Obstetricia","Técnico Sanitario","II Nivel","COLMED-CB-4203",35
98,1,98,"Dra. Ana Vargas Mercado","Medicina Interna","Cirujano","I Nivel","COLMED-SC-5832",2
99,1,99,"Lic. Rosa Pérez Salvatierra","Medicina Interna","Enfermera","I Nivel","COLMED-PO-1991",2
100,1,100,"Lic. Patricia Nina Arce","Medicina General","Enfermera Jefe","III Nivel","COLMED-PO-9287",3
101,1,101,"Dra. Laura Mamani Ticona","Traumatología","Cirujano","I Nivel","COLMED-BE-4749",19
102,1,102,"Dra. Fernando Rojas Flores","Cardiología","Cirujano","I Nivel","COLMED-TJ-4453",38
103,1,103,"Dr. Javier Choque Rojas","Dermatología","Médico Residente","III Nivel","COLMED-CB-7404",21
104,1,104,"Lic. Daniela Mendoza Mamani","Cardiología","Enfermera Jefe","III Nivel","COLMED-TJ-6928",38
105,1,105,"Dra. Jorge Rocha Vargas","Dermatología","Médico General","I Nivel","COLMED-PA-6690",25
106,1,106,"Dr. Pedro Vargas Nina","Medicina General","Médico General","II Nivel","COLMED-LP-9373",22
107,1,107,"Lic. Pedro Salvatierra Vaca","Cirugía General","Enfermera","II Nivel","COLMED-PA-9608",18
108,1,108,"Dra. Laura Vargas Nina","Endocrinología","Médico Especialista","III Nivel","COLMED-PA-3310",12
109,1,109,"Dra. Patricia Arce Flores","Cirugía General","Cirujano","I Nivel","COLMED-LP-1855",29
110,1,110,"Dr. Laura Flores Zárate","Oftalmología","Médico Residente","I Nivel","COLMED-SC-9873",22
111,1,111,"Lic. Marcos Arce Arce","Ginecología y Obstetricia","Técnico Sanitario","II Nivel","COLMED-TJ-1324",24
112,1,112,"Lic. Jorge Nina Aguilar","Dermatología","Técnico Sanitario","II Nivel","COLMED-CH-8030",33
113,1,113,"Dra. José Pérez Nina","Pediatría","Médico Residente","III Nivel","COLMED-TJ-2661",30
114,1,114,"Dr. Carlos Mercado Pinto","Pediatría","Médico Residente","I Nivel","COLMED-CB-4878",13
115,1,115,"Dra. Hugo Vaca Rocha","Traumatología","Médico General","III Nivel","COLMED-SC-8865",33
116,1,116,"Lic. José Salvatierra Arce","Anestesiología","Enfermera Jefe","III Nivel","COLMED-LP-6896",37
117,1,117,"Lic. Luis Gutiérrez Pérez","Cirugía General","Técnico Sanitario","II Nivel","COLMED-SC-8504",31
118,1,118,"Dra. Fernando Arce Gutiérrez","Cirugía General","Médico General","I Nivel","COLMED-CB-7144",25
119,1,119,"Dr. Marcos Quispe Vaca","Dermatología","Médico Especialista","I Nivel","COLMED-CH-4052",14
120,1,120,"Lic. Hugo Condori Aguilar","Cirugía General","Enfermera Jefe","I Nivel","COLMED-BE-2550",36
121,1,121,"Lic. Daniela Flores Salvatierra","Pediatría","Enfermera","II Nivel","COLMED-OR-2435",33
122,1,122,"Dr. Jorge Vaca Vargas","Traumatología","Médico General","I Nivel","COLMED-LP-3923",15
123,1,123,"Dra. Jorge Mercado Flores","Neurología","Médico Residente","II Nivel","COLMED-CB-3327",28
124,1,124,"Dr. José Choque Gutiérrez","Pediatría","Médico Residente","III Nivel","COLMED-CH-5513",40
125,1,125,"Lic. José Mendoza Rocha","Anestesiología","Enfermera","II Nivel","COLMED-CB-4684",24
126,1,126,"Lic. Luis Nina Condori","Oftalmología","Técnico Sanitario","III Nivel","COLMED-CH-7797",28
127,1,127,"Dr. Hugo Condori Pinto","Medicina Interna","Médico Especialista","III Nivel","COLMED-SC-1255",15
128,1,128,"Lic. Ana Choque Aguilar","Dermatología","Técnico Sanitario","I Nivel","COLMED-CH-7847",4
129,1,129,"Dra. Laura Mamani Quispe","Medicina Interna","Cirujano","I Nivel","COLMED-BE-8947",19
130,1,130,"Dr. Carlos Salvatierra Mamani","Neurología","Médico Residente","III Nivel","COLMED-LP-2924",2
131,1,131,"Dr. María Gutiérrez Ticona","Cirugía General","Médico Especialista","I Nivel","COLMED-BE-6792",14
132,1,132,"Lic. Luis Gutiérrez Arce","Endocrinología","Técnico Sanitario","I Nivel","COLMED-CB-9476",12
133,1,133,"Lic. Fernando Mendoza Flores","Cardiología","Enfermera","II Nivel","COLMED-LP-5976",11
134,1,134,"Dr. Daniela Pinto Choque","Endocrinología","Médico Especialista","I Nivel","COLMED-LP-3715",13
135,1,135,"Lic. José Choque Rojas","Traumatología","Técnico Sanitario","II Nivel","COLMED-TJ-4407",37
136,1,136,"Dr. Ana Vargas Pinto","Medicina General","Médico Especialista","I Nivel","COLMED-LP-9652",30
137,1,137,"Lic. Pedro Ticona Vargas","Neurología","Enfermera Jefe","II Nivel","COLMED-TJ-7351",6
138,1,138,"Dr. Carmen Mercado Pinto","Pediatría","Cirujano","II Nivel","COLMED-OR-2039",35
139,1,139,"Dr. Marcos Flores Rocha","Urología","Médico Residente","III Nivel","COLMED-PO-5551",20
140,1,140,"Lic. Silvia Vargas Pérez","Anestesiología","Enfermera","I Nivel","COLMED-CH-1866",15
141,1,141,"Dra. María Mendoza Pérez","Medicina General","Médico Especialista","II Nivel","COLMED-SC-8386",9
142,1,142,"Dr. Jorge Mercado Aguilar","Oftalmología","Médico Residente","II Nivel","COLMED-LP-6845",19
143,1,143,"Lic. Raúl Rocha Rocha","Medicina General","Técnico Sanitario","II Nivel","COLMED-BE-7778",10
144,1,144,"Dra. Rosa Salvatierra Pinto","Dermatología","Médico Residente","III Nivel","COLMED-BE-9446",8
145,1,145,"Dra. Martha Mercado Mamani","Cardiología","Cirujano","I Nivel","COLMED-BE-6629",29
146,1,146,"Lic. Pedro Nina Arce","Endocrinología","Enfermera","II Nivel","COLMED-CB-8997",7
147,1,147,"Dr. Patricia Mendoza Zárate","Medicina General","Médico Especialista","I Nivel","COLMED-PA-2246",9
148,1,148,"Lic. Silvia Ticona Mamani","Urología","Enfermera","II Nivel","COLMED-PO-8452",4
149,1,149,"Lic. Pedro Mendoza Salvatierra","Medicina Interna","Técnico Sanitario","I Nivel","COLMED-TJ-9845",33
150,1,150,"Dr. María Choque Vargas","Neurología","Médico Especialista","II Nivel","COLMED-OR-1408",32
151,1,151,"Dra. Raúl Condori Pinto","Medicina General","Cirujano","I Nivel","COLMED-SC-9305",9
152,1,152,"Dra. Ana Arce Rojas","Anestesiología","Médico Residente","I Nivel","COLMED-PO-2646",8
153,1,153,"Dra. Pedro Pérez Mendoza","Cardiología","Cirujano","I Nivel","COLMED-PO-6568",18
154,1,154,"Lic. María Ticona Gutiérrez","Pediatría","Enfermera Jefe","II Nivel","COLMED-SC-7644",3
155,1,155,"Dra. Javier Rocha Salvatierra","Ginecología y Obstetricia","Médico Residente","I Nivel","COLMED-BE-5479",27
156,1,156,"Lic. Pedro Salvatierra Vaca","Anestesiología","Enfermera Jefe","III Nivel","COLMED-CB-9626",6
157,1,157,"Lic. Fernando Condori Vaca","Cirugía General","Enfermera Jefe","I Nivel","COLMED-LP-7750",28
158,1,158,"Dr. Juan Nina Flores","Pediatría","Médico General","II Nivel","COLMED-BE-4560",38
159,1,159,"Lic. Hugo Mendoza Zárate","Cirugía General","Enfermera","I Nivel","COLMED-CH-6721",24
160,1,160,"Lic. Raúl Vaca Pérez","Cirugía General","Enfermera","II Nivel","COLMED-TJ-5299",25
161,1,161,"Lic. Carmen Aguilar Quispe","Anestesiología","Enfermera","I Nivel","COLMED-LP-9637",19
162,1,162,"Lic. Daniela Choque Mercado","Urología","Enfermera","I Nivel","COLMED-OR-8987",13
163,1,163,"Dra. Juan Mamani Gutiérrez","Traumatología","Médico Especialista","III Nivel","COLMED-BE-5166",1
164,1,164,"Dra. Silvia Nina Mercado","Cardiología","Médico Residente","III Nivel","COLMED-SC-1761",17
165,1,165,"Dra. Luis Choque Flores","Endocrinología","Cirujano","II Nivel","COLMED-BE-6096",17
166,1,166,"Dra. Marcos Ticona Rojas","Pediatría","Cirujano","III Nivel","COLMED-TJ-7522",30
167,1,167,"Dr. Marcos Mamani Salvatierra","Cirugía General","Médico Residente","I Nivel","COLMED-PA-2432",20
168,1,168,"Dra. Laura Vargas Mercado","Medicina General","Médico General","III Nivel","COLMED-PO-6899",10
169,1,169,"Dra. Carlos Zárate Rojas","Urología","Médico Especialista","III Nivel","COLMED-PO-3715",17
170,1,170,"Lic. José Pinto Mamani","Urología","Enfermera Jefe","III Nivel","COLMED-SC-3595",17
171,1,171,"Dra. Carmen Flores Quispe","Medicina Interna","Médico Residente","III Nivel","COLMED-TJ-6026",6
172,1,172,"Dr. Raúl Zárate Mendoza","Oftalmología","Médico Residente","I Nivel","COLMED-PA-9180",30
173,1,173,"Dr. María Choque Pinto","Pediatría","Cirujano","III Nivel","COLMED-PO-2392",23
174,1,174,"Lic. Martha Arce Condori","Oftalmología","Enfermera","I Nivel","COLMED-BE-8224",9
175,1,175,"Lic. Fernando Quispe Quispe","Pediatría","Enfermera Jefe","II Nivel","COLMED-CB-5813",40
176,1,176,"Dr. Laura Mendoza Rojas","Traumatología","Cirujano","I Nivel","COLMED-PA-5362",14
177,1,177,"Dr. Daniela Pinto Mamani","Medicina General","Médico General","I Nivel","COLMED-LP-5896",3
178,1,178,"Dra. Ana Zárate Condori","Oftalmología","Cirujano","I Nivel","COLMED-PO-7209",21
179,1,179,"Lic. Marcos Vargas Arce","Traumatología","Enfermera","I Nivel","COLMED-BE-2631",17
180,1,180,"Lic. Laura Vargas Ticona","Ginecología y Obstetricia","Enfermera Jefe","II Nivel","COLMED-CH-8851",40
181,1,181,"Dr. Carmen Salvatierra Zárate","Urología","Médico Especialista","III Nivel","COLMED-LP-6732",14
182,1,182,"Lic. Raúl Gutiérrez Choque","Ginecología y Obstetricia","Técnico Sanitario","II Nivel","COLMED-PO-6391",1
183,1,183,"Lic. Carlos Rocha Arce","Ginecología y Obstetricia","Enfermera","I Nivel","COLMED-CH-4892",28
184,1,184,"Dra. Carlos Ticona Mendoza","Medicina Interna","Médico Residente","I Nivel","COLMED-SC-2651",33
185,1,185,"Dr. Carlos Rocha Arce","Endocrinología","Cirujano","II Nivel","COLMED-PA-2237",9
186,1,186,"Dra. María Rojas Arce","Pediatría","Médico General","II Nivel","COLMED-CB-4841",26
187,1,187,"Lic. Rosa Arce Salvatierra","Medicina Interna","Enfermera Jefe","I Nivel","COLMED-CB-9800",39
188,1,188,"Lic. Carlos Rojas Vaca","Dermatología","Técnico Sanitario","II Nivel","COLMED-OR-1892",17
189,1,189,"Lic. Raúl Vaca Arce","Medicina Interna","Enfermera","II Nivel","COLMED-TJ-7589",8
190,1,190,"Lic. Rosa Vaca Choque","Traumatología","Enfermera","III Nivel","COLMED-CB-3000",25
191,1,191,"Lic. Jorge Mendoza Pérez","Medicina Interna","Enfermera Jefe","I Nivel","COLMED-BE-9266",18
192,1,192,"Dra. Silvia Vargas Pinto","Dermatología","Médico General","III Nivel","COLMED-SC-9474",4
193,1,193,"Dr. Carmen Vargas Condori","Medicina Interna","Médico General","I Nivel","COLMED-PO-2289",21
194,1,194,"Dr. Luis Vaca Choque","Medicina General","Médico Especialista","II Nivel","COLMED-BE-2235",5
195,1,195,"Lic. Luis Rocha Quispe","Anestesiología","Enfermera Jefe","III Nivel","COLMED-PA-5589",28
196,1,196,"Lic. Pedro Rojas Condori","Medicina Interna","Enfermera Jefe","I Nivel","COLMED-TJ-2008",14
197,1,197,"Dra. María Pinto Nina","Oftalmología","Cirujano","III Nivel","COLMED-PA-7282",30
198,1,198,"Dra. Marcos Condori Rojas","Medicina General","Médico Residente","III Nivel","COLMED-LP-7871",40
199,1,199,"Dra. Laura Mamani Rocha","Cirugía General","Cirujano","I Nivel","COLMED-SC-3082",16
200,1,200,"Dra. María Rojas Choque","Dermatología","Médico Residente","I Nivel","COLMED-CH-9188",25
201,1,201,"Dr. Raúl Ticona Condori","Urología","Médico Residente","III Nivel","COLMED-CB-1527",2
202,1,202,"Lic. Patricia Ticona Zárate","Urología","Técnico Sanitario","II Nivel","COLMED-OR-9241",10
203,1,203,"Lic. José Rojas Gutiérrez","Cardiología","Enfermera Jefe","II Nivel","COLMED-BE-2062",1
204,1,204,"Lic. Silvia Vaca Pérez","Medicina Interna","Enfermera","II Nivel","COLMED-SC-4295",4
205,1,205,"Dr. Jorge Pinto Arce","Neurología","Médico Especialista","II Nivel","COLMED-TJ-6297",34
206,1,206,"Lic. Jorge Mendoza Aguilar","Endocrinología","Enfermera","I Nivel","COLMED-CB-6092",18
207,1,207,"Dr. Luis Vaca Vargas","Endocrinología","Médico Residente","I Nivel","COLMED-BE-6934",28
208,1,208,"Lic. Fernando Flores Pérez","Endocrinología","Enfermera Jefe","II Nivel","COLMED-OR-8739",11
209,1,209,"Dra. Marcos Rocha Ticona","Pediatría","Médico Residente","I Nivel","COLMED-OR-2081",35
210,1,210,"Lic. Raúl Mercado Salvatierra","Traumatología","Enfermera","III Nivel","COLMED-CB-2652",11
211,1,211,"Dra. Carlos Nina Quispe","Cirugía General","Médico Residente","III Nivel","COLMED-OR-1944",40
212,1,212,"Dra. Patricia Arce Pinto","Cirugía General","Médico Residente","III Nivel","COLMED-OR-7465",16
213,1,213,"Lic. Fernando Flores Mamani","Cardiología","Enfermera","I Nivel","COLMED-BE-6980",16
214,1,214,"Dr. Hugo Arce Vaca","Medicina General","Cirujano","III Nivel","COLMED-BE-9989",4
215,1,215,"Dr. Hugo Nina Zárate","Oftalmología","Médico Residente","I Nivel","COLMED-OR-8843",18
216,1,216,"Dra. Patricia Salvatierra Mendoza","Cardiología","Cirujano","II Nivel","COLMED-SC-3883",12
217,1,217,"Dr. José Mercado Pinto","Ginecología y Obstetricia","Cirujano","I Nivel","COLMED-SC-5495",15
218,1,218,"Dra. Raúl Gutiérrez Mercado","Oftalmología","Médico Residente","II Nivel","COLMED-LP-4298",2
219,1,219,"Lic. José Nina Pinto","Dermatología","Técnico Sanitario","II Nivel","COLMED-SC-2618",30
220,1,220,"Lic. José Rojas Quispe","Endocrinología","Enfermera Jefe","I Nivel","COLMED-LP-1464",7
221,1,221,"Lic. Jorge Quispe Arce","Endocrinología","Enfermera","II Nivel","COLMED-TJ-8106",40
222,1,222,"Dra. Pedro Pinto Gutiérrez","Medicina General","Médico General","I Nivel","COLMED-CH-7950",40
223,1,223,"Dr. Marcos Quispe Flores","Oftalmología","Médico Especialista","II Nivel","COLMED-OR-1704",28
224,1,224,"Lic. Laura Arce Quispe","Endocrinología","Enfermera","II Nivel","COLMED-TJ-5260",10
225,1,225,"Lic. María Pinto Rocha","Endocrinología","Enfermera","III Nivel","COLMED-CB-9098",16
226,1,226,"Dra. Daniela Choque Condori","Oftalmología","Médico Especialista","I Nivel","COLMED-OR-5177",34
227,1,227,"Lic. María Condori Rocha","Dermatología","Enfermera","I Nivel","COLMED-PA-7208",21
228,1,228,"Dr. Laura Vaca Rocha","Medicina Interna","Médico General","III Nivel","COLMED-PO-7153",26
229,1,229,"Lic. Martha Zárate Mamani","Pediatría","Técnico Sanitario","II Nivel","COLMED-TJ-3563",37
230,1,230,"Dra. Fernando Pérez Vargas","Medicina Interna","Médico General","I Nivel","COLMED-PO-5358",5
231,1,231,"Lic. Rosa Salvatierra Arce","Endocrinología","Enfermera","I Nivel","COLMED-PA-1715",37
232,1,232,"Lic. Juan Mercado Pinto","Neurología","Enfermera Jefe","I Nivel","COLMED-OR-7868",34
233,1,233,"Lic. Marcos Quispe Quispe","Cirugía General","Técnico Sanitario","II Nivel","COLMED-PO-4481",22
234,1,234,"Dra. Silvia Ticona Pinto","Cirugía General","Médico Especialista","I Nivel","COLMED-CB-3306",40
235,1,235,"Dra. Carmen Vargas Mercado","Oftalmología","Cirujano","I Nivel","COLMED-CB-9959",32
236,1,236,"Dra. Fernando Zárate Rojas","Cirugía General","Médico General","III Nivel","COLMED-TJ-9314",4
237,1,237,"Dra. Marcos Zárate Choque","Urología","Cirujano","I Nivel","COLMED-SC-7234",23
238,1,238,"Lic. Rosa Rojas Quispe","Dermatología","Técnico Sanitario","II Nivel","COLMED-PA-2667",5
239,1,239,"Dra. Raúl Pinto Rojas","Medicina General","Médico Residente","II Nivel","COLMED-SC-2766",4
240,1,240,"Lic. Luis Vargas Ticona","Cirugía General","Enfermera","III Nivel","COLMED-PA-9467",23
241,1,241,"Lic. Carlos Pinto Condori","Urología","Enfermera Jefe","III Nivel","COLMED-PA-3282",23
242,1,242,"Dra. Carlos Mamani Rocha","Dermatología","Cirujano","III Nivel","COLMED-OR-4188",8
243,1,243,"Dra. Juan Aguilar Rojas","Anestesiología","Médico General","II Nivel","COLMED-PA-6408",35
244,1,244,"Lic. Pedro Salvatierra Rojas","Endocrinología","Enfermera Jefe","II Nivel","COLMED-PA-1370",21
245,1,245,"Lic. María Gutiérrez Quispe","Dermatología","Enfermera","II Nivel","COLMED-CH-3463",24
246,1,246,"Dr. Laura Rocha Pérez","Oftalmología","Cirujano","I Nivel","COLMED-CH-9006",2
247,1,247,"Dr. Martha Rojas Mamani","Medicina Interna","Cirujano","I Nivel","COLMED-LP-4932",12
